GEOID,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,ED_APENR,ED_ATTAIN,ED_COLLEGE,ED_ECENROL,ED_HSGRAD,ED_MATH,ED_READING,ED_SCHPOV,ED_TEACHXP,ED_PRXECE,ED_PRXHQECE,HE_FOOD,HE_GREEN,HE_HEAT,HE_HLTHINS,HE_OZONE,HE_PM25,HE_VACANCY,HE_WALK,HE_SUPRFND,HE_RSEI,SE_POVRATE,SE_PUBLIC,SE_HOME,SE_OCC,SE_MHE,SE_EMPRAT,SE_JOBPROX,SE_SINGLE
36001002200,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,353,0.38612378,62.372444,61.844723,0.0,69.342064,197.64697,170.52405,86.49955,9.5672321,4.156208,1.0986123,0.0,67.099998,3.3333333,89.207047,37.718872,8.0692406,15.465839,13.865774,-13.815511,6.9960575,14.262295,9.9926519,31.667891,55.36869,49971.0,87.533638,1.0971787,50.0
36001002200,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,295,0.45102587,54.74416,58.177021,0.0,67.976746,88.532356,96.660233,71.753723,8.529191,3.8814309,1.1860716,0.0,67.099998,1.6666666,90.767868,35.627819,8.7038307,9.9699697,13.865774,-13.815511,6.0222034,19.724951,23.749166,20.146765,44.814579,44583.0,81.185944,0.0,83.928574
36001002300,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,383,0.37999794,34.557064,61.085342,48.599998,69.998932,187.27943,168.97423,85.30616,9.6284952,4.1442971,1.0986123,24.296019,44.200001,3.3333333,87.218933,37.737888,8.0692997,26.864534,14.410586,-13.815511,7.0411592,30.688936,27.991676,33.922997,44.42231,30853.0,74.427017,0.0,77.380959
36001002300,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,260,0.43753636,30.035587,57.151524,55.400002,67.57505,81.195717,102.36185,81.696159,8.8235292,3.8590949,1.2112737,41.194023,44.200001,1.6666666,86.014404,35.645615,8.6960096,26.530611,14.410586,-13.815511,6.0984807,34.722954,38.46154,22.008547,25.664621,30329.0,63.022507,9.5991564,75.510201
36001002500,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,574,0.37708762,11.298701,59.710674,66.699997,74.894623,188.68857,177.17339,86.0,6.3761954,4.1343622,1.0986123,57.258041,58.5,3.3333333,84.618851,37.766811,8.0805159,28.89151,16.647564,-13.815511,7.3038812,31.54281,42.868988,11.85738,22.815088,25015.0,65.256798,7.5329566,79.661018
36001002500,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,995,0.43539578,12.217718,55.749508,56.200001,67.717308,78.523529,97.578285,81.696159,8.8235292,3.8569453,1.2151541,65.167625,58.5,1.6666666,88.146324,35.67606,8.6954918,31.578945,16.647564,-13.815511,6.4901423,49.617836,65.070641,16.248039,22.284645,18421.0,44.802578,13.396226,89.403976
36001002600,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,1412,0.38608861,17.902725,59.278923,66.699997,69.59034,199.06129,181.60715,82.209198,12.140894,4.1464357,1.0986123,17.942892,47.200001,3.3333333,88.541901,37.778328,8.0633268,15.529816,14.440654,-13.815511,7.4021845,22.145887,26.053833,43.676994,21.259842,40011.0,80.592987,1.7754105,75.68808
36001002600,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,1434,0.43847361,12.415902,55.88578,85.400002,66.737595,86.663223,95.925941,78.912094,8.1297207,3.8655066,1.0986123,27.630701,47.200001,1.6666666,92.845047,35.693779,8.6538334,18.316221,14.440654,-13.815511,6.5676908,25.028879,38.210155,37.104073,19.404861,35611.0,75.011375,9.8710537,65.424164
36001012700,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,269,0.1928255,21.748072,55.969418,0.0,74.020554,205.37059,188.22882,66.876968,2.1363666,3.4011974,0.0,9.8431349,24.700001,2.3333333,87.790413,37.988335,8.1237764,4.6153846,14.172053,-13.815511,7.7248883,6.9427023,6.4837904,46.217789,34.738274,58206.0,85.812553,1.3774104,32.857143
36001012700,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,292,0.30557019,28.66276,52.023186,0.0,84.656723,269.89075,273.9649,63.916759,12.925172,3.2591155,0.026160868,7.5856404,24.700001,1.6666666,91.805557,35.658157,8.8051682,13.381675,14.172053,-13.815511,6.4925861,10.979464,8.90411,28.691021,34.466972,49118.0,80.914688,2.2207267,41.284405
